image_id,MOS,Brightness,Colorfulness,Contrast,Noisiness,Sharpness
00048.jpg,2.24,5.39,5.64,5.6,4.39,1.17
00049.jpg,3.68,4.07,5.3,5.22,2.92,3.52
00050.jpg,5.88,5.72,6.15,5.83,5.23,5.73
00051.jpg,1.17,2.62,3.4,2.55,2.9,0.83
00052.jpg,7.58,7.23,7.45,7.38,7.55,7.52
00053.jpg,7.1,6.48,6.82,8.46,7.47,7.67
00054.jpg,1.93,4.77,4.17,4.65,3.1,1.42
00055.jpg,1.4,4.52,3.88,4.33,3.12,1.03
00056.jpg,6.7,6.29,6.84,6.67,6.14,6.37
00057.jpg,6.56,6.31,7.17,7.03,6.09,6.12
00058.jpg,4.57,4.6,5.16,4.93,5.12,4.75
00059.jpg,3.26,6.58,6.73,6.54,4.98,3.23
00060.jpg,1.61,5.18,5.26,4.43,3.93,2.66
00061.jpg,7.8,7.63,7.67,7.07,7.06,7.18
00062.jpg,3.25,5.32,6.19,5.54,4.99,3.22
00063.jpg,3.76,3.86,5.83,5.12,5.25,2.44
00064.jpg,3.13,5.14,5.66,4.71,3.91,1.84
00065.jpg,3.28,5.18,4.92,5.08,3.82,2.62
00066.jpg,6.76,6.82,6.86,6.89,6.56,6.71
00067.jpg,6.79,7.29,6.8,6.64,6.79,6.8
00068.jpg,1.86,3.54,3.95,3.59,2.75,1.31
00069.jpg,6.69,6.05,6.64,6.69,7.22,6.52
00070.jpg,5.6,5.81,6.1,6.21,5.84,5.46
00071.jpg,4.62,4.81,6.35,5.06,5.31,3.89
00072.jpg,2.19,4.06,5.15,2.94,3.74,1.38
00073.jpg,3.44,4.26,5.32,4.13,4.71,4.34
00074.jpg,3.84,4.95,5.41,4.96,5.19,2.54
00075.jpg,3.99,6.71,6.4,4.86,5.05,3.35
00076.jpg,2.84,5.74,6.34,5.31,4.47,2.44
00077.jpg,4.99,4.3,6.43,5.01,6.18,5.06
00078.jpg,6.71,6.64,7.0,7.2,6.81,6.62
00079.jpg,2.66,4.82,5.97,4.73,3.99,1.74
00080.jpg,4.19,5.81,6.41,4.83,4.69,3.4
00081.jpg,0.74,3.75,3.9,1.88,3.39,0.44
00082.jpg,7.34,6.15,7.63,7.99,6.85,7.77
00083.jpg,6.17,6.9,7.58,6.78,6.37,5.6
00084.jpg,4.67,5.06,6.2,5.16,5.22,4.61
00085.jpg,1.66,2.9,3.57,3.57,3.9,0.81
00086.jpg,3.29,2.99,4.25,4.07,3.63,2.27
00087.jpg,5.66,6.12,6.32,5.17,5.14,7.15
00088.jpg,7.59,7.41,7.82,7.93,6.77,8.38
00089.jpg,7.39,6.58,7.33,6.37,7.36,6.98
00090.jpg,5.47,5.41,7.53,6.87,6.1,6.07
00091.jpg,7.89,7.97,7.9,8.32,7.84,7.86
00092.jpg,4.99,5.44,5.93,5.63,5.31,4.37
00093.jpg,3.43,6.23,6.55,5.93,5.81,3.06
00094.jpg,3.4,4.99,5.72,4.83,6.33,2.01
00095.jpg,4.79,5.41,6.7,5.3,5.5,4.53
00096.jpg,3.49,4.02,5.43,5.1,5.02,3.05
00097.jpg,5.84,5.88,6.79,5.94,6.7,5.79
00098.jpg,4.91,5.83,6.85,6.02,6.11,4.59
00099.jpg,4.11,5.4,6.43,5.87,5.43,2.97
00100.jpg,5.06,4.44,6.16,5.56,6.22,4.7
00101.jpg,1.6,2.79,2.98,2.95,3.34,1.16
00102.jpg,3.53,3.19,4.38,3.95,3.6,2.59
00103.jpg,4.25,2.78,5.1,5.1,4.94,3.5
00104.jpg,5.89,6.09,6.43,6.2,6.55,6.55
00105.jpg,4.79,4.92,5.96,5.67,5.51,5.58
00106.jpg,6.89,7.51,7.17,7.63,7.07,6.13
00107.jpg,3.89,5.11,5.53,5.2,3.28,2.69
00108.jpg,6.4,6.88,6.35,5.99,6.52,6.48
00109.jpg,6.01,5.95,6.94,6.12,4.61,5.46
00110.jpg,3.71,5.73,5.75,5.42,3.73,4.39
00111.jpg,4.36,5.17,5.75,4.82,4.47,3.53
00112.jpg,2.79,5.61,4.71,6.06,4.4,1.57
00113.jpg,2.05,5.14,4.17,4.6,3.46,1.49
00114.jpg,1.46,4.74,4.18,4.05,2.63,0.64
00115.jpg,7.81,6.89,8.0,7.97,7.7,8.17
00116.jpg,5.46,6.09,6.64,6.19,7.23,5.86
00117.jpg,7.54,7.21,7.58,7.28,7.97,7.33
00118.jpg,3.99,2.69,4.87,3.43,5.83,4.84
00119.jpg,5.36,5.71,6.86,5.69,6.32,4.91
00120.jpg,5.13,4.63,5.8,4.38,5.89,4.87
00121.jpg,6.46,6.34,7.72,6.77,8.07,6.57
00122.jpg,3.86,4.61,6.22,4.6,5.43,4.46
00123.jpg,2.66,5.37,5.37,4.73,4.94,1.71
00124.jpg,6.71,3.82,6.9,5.93,6.54,6.89
00125.jpg,4.3,5.34,5.97,5.85,6.43,3.84
00126.jpg,8.21,7.85,8.29,7.81,7.59,7.79
00127.jpg,7.74,7.5,7.66,7.04,7.5,7.04
00128.jpg,7.4,7.37,7.18,7.63,7.7,6.94
00129.jpg,4.4,4.26,5.72,4.83,6.5,3.33
00130.jpg,1.28,5.2,4.27,4.07,4.13,1.27
00131.jpg,4.24,4.62,5.81,5.29,4.83,3.36
00132.jpg,5.69,5.52,6.9,5.94,6.06,5.76
00133.jpg,7.19,6.52,7.64,7.02,7.38,6.87
00134.jpg,5.3,6.93,6.84,6.58,5.79,3.99
00135.jpg,7.76,7.97,8.38,8.2,7.46,7.76
00136.jpg,2.17,7.08,6.58,4.97,3.84,1.12
00137.jpg,5.27,5.12,5.27,4.99,5.69,4.96
00138.jpg,2.0,2.2,2.87,2.83,5.32,3.84
00139.jpg,5.28,6.07,6.85,6.2,5.29,3.73
00140.jpg,2.2,2.93,3.26,2.84,4.28,2.0
00141.jpg,3.08,5.17,4.48,4.49,2.99,1.38
00142.jpg,1.56,3.48,2.8,3.34,1.38,1.2
00143.jpg,7.53,7.38,7.49,7.17,6.96,7.45
00144.jpg,2.92,4.72,4.96,4.54,2.71,1.85
00145.jpg,4.07,2.81,2.58,3.23,4.97,3.63
00146.jpg,3.4,3.49,4.18,3.36,1.46,2.29
00147.jpg,3.78,5.72,5.53,5.15,2.27,1.91
00148.jpg,8.04,7.52,7.66,7.4,7.17,7.88
00149.jpg,6.89,7.48,6.63,7.46,6.26,6.66
00150.jpg,7.9,6.93,7.81,7.74,7.74,7.32
00151.jpg,4.22,5.6,5.57,5.76,3.76,2.42
00152.jpg,2.17,2.86,4.97,3.38,3.09,1.34
00153.jpg,8.19,7.37,7.99,7.85,7.68,7.7
00154.jpg,9.14,8.57,8.28,7.8,7.91,8.24
00155.jpg,4.46,4.9,5.03,4.97,3.5,2.84
00156.jpg,3.4,2.81,4.9,3.71,2.52,2.52
00157.jpg,7.99,7.59,8.3,7.78,7.77,8.03
00158.jpg,4.97,4.0,5.1,4.31,4.35,2.92
00159.jpg,7.17,6.16,6.54,6.26,7.46,7.37
00160.jpg,4.68,4.46,4.48,4.69,3.08,2.82
00161.jpg,3.72,4.56,4.71,4.08,2.8,2.77
00162.jpg,3.12,3.61,3.92,3.42,2.9,1.84
00163.jpg,8.06,7.72,8.31,7.62,7.52,8.14
00164.jpg,4.51,3.71,4.74,3.97,4.54,4.16
00165.jpg,7.99,7.3,8.05,7.5,7.6,7.8
00166.jpg,2.58,2.03,2.38,2.91,3.48,3.13
00167.jpg,3.28,4.18,4.95,4.76,3.17,2.34
00168.jpg,7.37,7.0,7.04,7.06,7.31,7.61
00169.jpg,7.78,6.38,6.64,6.46,7.39,7.8
00170.jpg,7.31,6.2,6.72,6.47,6.67,6.87
00171.jpg,6.25,4.29,5.55,4.87,5.98,6.06
00172.jpg,6.26,5.05,6.76,5.97,6.05,6.42
00173.jpg,3.51,3.31,4.82,4.04,2.92,2.6
00174.jpg,7.9,7.57,8.0,7.87,7.83,7.96
00175.jpg,2.3,1.47,2.88,1.51,2.83,2.84
00176.jpg,7.89,7.73,7.58,7.22,7.42,7.74
00177.jpg,7.92,7.8,7.76,7.55,8.33,7.51
00178.jpg,5.37,6.37,6.31,5.5,3.95,3.53
00179.jpg,7.13,7.22,7.31,7.06,7.48,7.08
00180.jpg,7.52,7.33,7.48,7.38,7.3,7.66
00181.jpg,4.36,5.42,5.12,5.05,3.24,3.04
00182.jpg,8.05,7.19,7.78,7.02,7.6,7.65
00183.jpg,5.94,7.01,7.49,6.84,5.68,4.69
00184.jpg,5.44,4.51,5.7,4.94,5.57,5.45
00185.jpg,6.49,5.99,6.88,5.89,6.32,5.76
00186.jpg,6.42,5.74,6.32,6.04,6.27,6.24
00187.jpg,2.66,1.37,2.58,2.0,2.09,2.83
00188.jpg,6.77,5.97,6.96,6.33,6.3,6.71
00189.jpg,4.42,4.77,4.87,4.73,4.14,3.15
00190.jpg,5.74,4.87,6.53,5.47,5.26,4.66
00191.jpg,3.34,5.22,5.37,5.41,3.46,2.61
00192.jpg,6.08,6.13,6.39,6.65,6.43,6.32
00193.jpg,3.71,3.7,4.21,3.77,2.78,3.06
00194.jpg,6.2,5.12,6.65,5.54,5.47,6.56
00195.jpg,4.15,4.74,5.01,4.45,4.1,3.31
00196.jpg,1.09,2.55,3.05,2.44,2.74,1.34
00197.jpg,3.93,3.92,5.0,4.24,3.93,2.97
00198.jpg,4.22,4.28,4.91,4.89,4.29,3.94
00199.jpg,5.1,4.85,5.18,5.41,5.0,4.4
00200.jpg,7.54,6.94,7.6,6.86,7.61,7.68
00201.jpg,3.45,3.22,3.81,3.06,3.46,2.89
00202.jpg,6.48,6.19,5.72,5.0,6.76,6.61
00203.jpg,7.64,7.31,7.54,7.32,7.61,7.89
00204.jpg,7.84,6.54,7.7,7.14,7.17,7.63
00205.jpg,3.46,4.3,4.85,4.01,3.0,2.29
00206.jpg,1.27,1.33,2.69,1.48,2.24,1.16
00207.jpg,5.76,5.32,5.71,5.13,5.32,6.66
00208.jpg,4.69,3.91,4.1,4.0,4.76,4.81
00209.jpg,3.43,2.91,3.77,3.5,2.87,2.21
00210.jpg,8.55,7.82,7.87,7.87,7.5,7.36
00211.jpg,4.69,4.94,5.24,5.09,4.15,3.58
00212.jpg,3.44,5.97,6.15,5.03,4.88,1.84
00213.jpg,2.02,1.58,3.49,3.0,5.08,3.82
00214.jpg,1.84,5.08,4.43,4.06,3.78,1.19
00215.jpg,1.38,0.99,2.77,1.66,1.84,1.74
00216.jpg,7.32,7.39,7.68,7.21,7.0,7.03
00217.jpg,2.16,2.19,4.62,2.47,4.42,1.61
00218.jpg,4.8,4.54,6.58,4.82,6.56,6.98
00219.jpg,6.14,6.49,6.6,6.39,6.47,6.44
00220.jpg,1.46,4.36,3.38,3.0,3.27,0.72
00221.jpg,7.85,7.64,8.06,7.22,7.36,8.1
00222.jpg,5.81,6.32,5.81,6.21,6.02,5.72
00223.jpg,5.08,3.35,4.41,4.34,5.08,5.49
00224.jpg,1.91,4.34,4.59,3.82,3.74,0.88
00225.jpg,2.72,2.19,4.53,3.5,4.92,3.92
00226.jpg,3.55,3.18,3.92,2.63,4.8,3.78
00227.jpg,8.23,8.48,8.28,7.78,7.25,8.16
00228.jpg,7.38,7.27,7.58,7.27,6.84,7.3
00229.jpg,1.15,4.81,3.0,3.67,3.79,0.85
00230.jpg,4.8,4.06,4.93,5.26,5.16,4.95
00231.jpg,6.24,5.12,5.69,5.3,6.68,6.66
00232.jpg,5.31,5.13,5.31,4.6,5.12,4.38
00233.jpg,7.11,7.67,7.49,7.22,6.76,6.95
00234.jpg,7.48,7.32,7.41,7.44,6.11,6.94
00235.jpg,1.85,4.24,4.0,3.49,3.53,0.98
00236.jpg,4.77,6.6,6.34,6.06,4.66,3.77
00237.jpg,2.09,3.06,5.02,3.75,3.78,1.09
00238.jpg,1.7,4.34,4.51,3.84,3.39,1.14
00239.jpg,5.38,4.9,5.55,5.62,5.71,6.23
00240.jpg,4.8,4.38,5.21,4.77,4.59,5.06
00241.jpg,4.3,5.17,5.52,5.11,5.43,3.38
00242.jpg,3.01,5.46,4.83,4.73,4.67,1.81
00243.jpg,3.88,3.54,4.33,2.91,5.08,4.75
00244.jpg,2.6,4.78,4.58,3.78,4.06,1.57
00245.jpg,2.58,3.83,4.99,3.97,4.2,1.92
00246.jpg,7.56,7.54,7.88,7.55,6.79,7.76
00247.jpg,3.22,5.72,5.65,5.96,4.97,1.27
00248.jpg,3.38,3.01,4.83,4.28,4.86,3.07
00249.jpg,2.48,3.06,4.19,3.48,3.58,2.15
00250.jpg,0.92,2.71,2.54,2.7,3.33,0.8
00251.jpg,7.28,6.63,7.32,7.28,7.49,7.65
00252.jpg,4.45,5.06,6.66,4.82,5.19,5.24
00253.jpg,3.28,5.52,5.33,5.52,4.31,1.68
00254.jpg,4.22,4.88,5.85,5.07,5.49,2.83
00255.jpg,5.79,6.67,6.82,6.29,6.26,5.29
00256.jpg,2.65,1.79,2.54,2.39,5.34,3.13
00257.jpg,2.21,2.02,3.38,2.17,3.22,1.87
00258.jpg,5.7,4.94,5.88,5.51,6.7,6.6
00259.jpg,5.23,5.4,5.82,4.7,5.38,3.63
00260.jpg,7.01,6.24,6.02,6.63,7.16,7.3
00261.jpg,3.02,5.44,5.02,4.94,4.46,1.71
00262.jpg,6.78,7.11,7.89,6.88,7.31,7.2
00263.jpg,4.66,3.55,4.49,4.18,5.52,4.4
00264.jpg,7.04,7.05,7.18,7.0,7.26,7.46
00265.jpg,3.68,5.15,5.58,4.95,5.28,2.92
00266.jpg,6.38,7.21,7.16,6.22,7.17,7.74
00267.jpg,6.72,7.45,6.83,6.88,6.78,6.52
00268.jpg,2.48,5.6,4.92,5.55,5.13,1.64
00269.jpg,1.63,3.0,4.16,3.38,4.39,1.61
00270.jpg,6.96,7.21,7.67,6.76,7.04,7.5
00271.jpg,6.69,6.7,6.93,6.86,6.54,7.28
00272.jpg,1.71,4.02,3.49,4.02,4.24,1.4
00273.jpg,7.54,7.62,7.86,7.65,7.63,7.84
00274.jpg,5.96,5.66,5.98,5.53,5.84,6.47
00275.jpg,6.22,6.22,6.07,5.61,6.73,6.69
00276.jpg,7.31,6.92,8.09,7.47,7.68,7.59
00277.jpg,6.91,6.22,7.34,6.9,8.02,7.56
00278.jpg,2.08,5.22,4.81,4.28,5.24,1.32
00279.jpg,8.51,8.29,8.39,8.61,7.92,8.14
00280.jpg,4.05,5.95,6.13,5.75,5.7,3.01
00281.jpg,8.12,7.79,7.86,7.85,7.41,7.67
00282.jpg,7.51,7.47,7.51,7.43,6.79,6.97
00283.jpg,6.55,5.91,5.88,5.97,4.77,5.47
00284.jpg,2.71,4.8,4.76,4.57,3.26,1.68
00285.jpg,6.36,6.43,7.18,6.75,6.63,6.78
00286.jpg,6.56,5.31,7.6,7.1,7.17,7.08
00287.jpg,4.82,3.12,5.32,4.89,5.59,5.31
00288.jpg,7.42,6.83,7.6,7.13,7.09,7.51
00289.jpg,4.53,3.59,5.42,5.31,3.44,3.7
00290.jpg,2.07,4.33,4.18,4.24,3.16,1.26
00291.jpg,2.12,3.86,5.24,4.11,3.79,1.21
00292.jpg,2.78,2.49,4.01,3.11,2.72,3.26
00293.jpg,5.88,6.44,6.0,5.99,4.94,6.28
00294.jpg,5.58,4.69,5.47,6.06,4.72,6.11
00295.jpg,7.39,7.13,7.03,7.21,6.97,7.68
00296.jpg,6.58,6.46,6.62,6.89,6.39,6.09
00297.jpg,3.46,5.97,5.88,6.27,4.16,2.27
00298.jpg,6.89,6.19,7.39,6.79,6.59,6.98
00299.jpg,4.65,5.49,5.39,5.62,4.94,4.6
00300.jpg,6.75,6.83,5.94,6.62,6.79,6.85
00301.jpg,5.89,7.03,6.65,6.58,6.09,5.35
00302.jpg,3.46,4.59,5.14,5.33,4.38,1.63
00303.jpg,0.74,0.67,0.91,1.14,1.88,0.87
00304.jpg,6.09,6.28,5.64,6.31,6.05,6.8
00305.jpg,6.87,6.31,6.62,7.48,6.88,7.76
00306.jpg,3.81,4.42,5.15,5.35,4.9,2.58
00307.jpg,2.23,1.94,2.88,3.42,3.54,2.08
00308.jpg,6.02,5.74,5.75,5.85,5.16,6.68
00309.jpg,4.28,3.11,4.59,3.93,4.8,5.47
00310.jpg,6.28,5.35,6.32,5.71,6.06,6.32
00311.jpg,5.84,6.45,6.3,6.72,3.9,5.93
00312.jpg,1.68,1.87,1.66,1.93,2.6,1.68
00313.jpg,5.46,5.77,5.52,5.96,4.34,5.4
00314.jpg,2.54,1.57,2.36,2.62,4.62,2.86
00315.jpg,1.91,3.13,3.91,3.31,2.32,1.23
00316.jpg,3.62,5.76,5.24,5.04,3.66,1.76
00317.jpg,3.78,3.73,3.6,4.18,3.29,3.74
00318.jpg,4.0,5.94,4.8,4.73,2.7,3.09
00319.jpg,2.82,4.94,5.29,4.63,2.91,1.74
00320.jpg,2.73,5.73,5.66,5.23,3.25,1.26
00321.jpg,4.4,5.22,5.92,5.37,3.36,3.8
00322.jpg,2.89,4.63,4.52,4.77,3.34,1.45
00323.jpg,1.74,4.04,2.98,3.3,1.58,1.11
00324.jpg,3.17,3.44,3.92,4.07,3.75,3.12
00325.jpg,7.39,7.01,7.36,7.01,7.23,7.27
00326.jpg,2.86,4.59,4.87,5.2,3.74,1.91
00327.jpg,5.99,5.38,6.72,5.98,6.36,6.63
00328.jpg,7.89,7.43,7.51,7.73,7.53,7.62
00329.jpg,3.35,4.43,5.62,5.39,4.67,2.26
00330.jpg,5.27,6.01,6.52,6.0,4.67,4.23
00331.jpg,7.57,7.48,6.98,7.51,5.97,7.84
00332.jpg,3.95,6.61,6.77,6.31,4.14,2.16
00333.jpg,6.15,5.18,5.9,5.84,5.11,6.32
00334.jpg,7.49,7.03,7.25,7.45,7.16,7.2
00335.jpg,3.14,2.71,4.06,3.47,2.06,3.35
00336.jpg,3.25,3.94,5.76,5.11,3.46,2.35
00337.jpg,6.74,6.72,6.85,6.54,6.28,6.68
00338.jpg,5.35,5.19,5.1,5.56,3.91,5.45
00339.jpg,4.2,6.29,5.38,5.97,2.49,3.86
00340.jpg,2.44,2.17,3.19,3.53,1.86,2.46
00341.jpg,4.8,6.43,5.85,6.43,4.53,3.85
00342.jpg,7.99,8.12,7.92,7.96,7.18,7.39
00343.jpg,8.28,8.07,8.28,7.72,7.6,8.09
00344.jpg,4.67,5.67,6.13,5.89,4.34,2.84
00345.jpg,2.85,5.22,5.35,4.68,3.41,1.61
00346.jpg,7.85,7.32,8.03,7.79,7.67,7.82
00347.jpg,2.59,1.42,2.92,3.04,5.14,3.77
00348.jpg,5.52,4.18,6.85,6.26,5.84,6.36
00349.jpg,6.1,4.17,6.37,6.52,7.22,6.6
00350.jpg,4.57,3.23,4.77,5.0,4.33,4.34
00351.jpg,1.92,3.54,3.4,2.99,3.12,1.21
00352.jpg,5.77,6.42,6.39,6.07,5.63,5.26
00353.jpg,7.81,7.47,7.86,7.27,7.63,7.27
00354.jpg,7.44,6.94,7.57,6.75,7.7,7.61
00355.jpg,6.46,6.12,6.78,5.89,5.68,6.53
00356.jpg,5.11,5.24,5.38,4.5,5.21,4.22
00357.jpg,1.82,2.54,3.66,2.34,1.82,1.52
00358.jpg,3.85,4.55,5.38,3.63,3.8,2.79
00359.jpg,2.43,3.89,4.37,3.38,3.36,1.62
00360.jpg,6.74,6.4,6.52,6.15,6.72,6.52
00361.jpg,2.26,5.72,5.39,4.31,3.49,1.29
00362.jpg,5.79,5.49,5.97,5.4,6.13,5.99
00363.jpg,2.8,4.74,4.57,4.29,3.04,1.6
00364.jpg,3.66,3.88,4.42,3.9,3.12,2.75
00365.jpg,7.78,7.56,8.31,7.6,8.24,7.98
00366.jpg,7.83,7.82,8.21,7.76,8.25,8.01
00367.jpg,6.24,4.99,6.67,5.13,6.91,6.58
00368.jpg,2.25,4.64,5.06,3.98,3.72,1.32
00369.jpg,0.56,2.16,1.81,1.76,1.56,0.75
00370.jpg,7.58,7.18,7.74,7.22,7.45,7.95
00371.jpg,5.16,3.96,5.93,4.67,5.87,5.65
00372.jpg,7.19,6.37,7.18,6.87,7.27,7.45
00373.jpg,3.8,2.73,4.87,3.95,4.43,5.11
00374.jpg,6.28,4.83,6.62,5.4,6.22,6.76
00375.jpg,7.19,5.86,7.16,6.63,7.11,7.1
00376.jpg,3.53,3.27,4.03,3.45,4.23,2.23
00377.jpg,7.52,7.28,7.43,6.91,7.36,7.79
00378.jpg,7.06,7.05,6.79,6.75,7.32,6.99
00379.jpg,2.22,4.04,4.18,2.9,2.52,0.88
00380.jpg,5.84,5.11,6.39,5.94,5.48,5.81
00381.jpg,7.94,7.61,7.93,7.51,7.66,8.07
00382.jpg,7.18,6.8,7.28,6.73,6.92,7.11
00383.jpg,6.98,6.13,6.28,6.52,7.17,6.91
00384.jpg,8.24,7.71,7.99,7.71,8.02,8.04
00385.jpg,4.26,5.38,5.51,4.88,4.11,3.31
00386.jpg,7.53,7.09,7.57,7.43,7.12,7.45
00387.jpg,6.57,6.82,6.6,6.66,6.46,6.48
00388.jpg,2.53,2.27,3.58,3.32,2.39,2.52
00389.jpg,3.31,3.69,3.91,3.51,2.76,2.61
00390.jpg,7.19,6.58,7.14,6.48,6.38,6.98
00391.jpg,7.72,7.18,7.63,7.19,7.41,7.36
00392.jpg,3.73,5.63,5.49,4.41,3.91,2.09
00393.jpg,7.31,7.13,7.44,6.62,6.91,7.2
00394.jpg,1.87,3.62,3.66,2.94,1.82,0.91
00395.jpg,8.69,8.45,8.29,8.36,7.88,8.26
00396.jpg,2.73,4.66,4.12,3.42,2.71,1.16
00397.jpg,6.16,6.24,6.11,6.52,6.31,6.27
00398.jpg,7.46,6.83,7.28,7.17,7.62,7.92
00399.jpg,4.16,5.26,5.46,5.02,4.45,2.56
00400.jpg,8.03,7.67,7.96,7.76,7.85,7.98
00401.jpg,7.04,6.64,7.41,6.91,7.37,7.24
00402.jpg,7.47,7.87,7.6,7.42,7.14,7.14
00403.jpg,3.35,5.28,5.34,4.28,4.12,2.4
00404.jpg,3.09,4.73,4.86,3.81,3.76,1.84
00405.jpg,4.31,3.21,5.29,4.41,3.82,4.17
00406.jpg,4.1,4.15,5.61,4.68,3.74,3.69
00407.jpg,8.17,8.33,8.34,8.29,8.46,8.48
00408.jpg,4.73,5.58,5.68,4.72,4.91,4.12
00409.jpg,5.62,4.82,5.54,5.26,6.08,5.92
00410.jpg,3.25,2.57,3.86,2.67,3.01,2.09
00411.jpg,1.51,1.56,2.36,1.71,1.18,1.04
00412.jpg,6.81,6.81,6.73,6.36,7.05,6.06
00413.jpg,6.54,6.84,6.94,6.59,6.59,6.85
00414.jpg,5.92,4.78,6.64,5.26,6.8,6.41
00415.jpg,6.96,6.21,7.36,6.65,7.31,7.43
00416.jpg,6.57,6.06,6.74,6.48,6.14,6.92
00417.jpg,7.25,7.2,7.17,7.02,7.37,7.79
00418.jpg,4.58,3.66,4.54,4.3,5.09,4.07
00419.jpg,0.57,2.33,1.61,1.62,1.33,0.24
00420.jpg,7.97,7.92,8.06,7.99,8.12,8.08
00421.jpg,3.51,5.41,4.84,4.37,2.41,2.31
00422.jpg,7.89,8.39,8.24,8.51,8.06,8.3
00423.jpg,8.5,8.43,8.69,8.56,8.4,8.61
00424.jpg,1.83,6.3,5.05,4.52,3.58,0.95
00425.jpg,8.46,8.61,8.79,8.48,9.02,8.8
00426.jpg,4.18,6.47,6.53,6.27,5.6,3.37
00427.jpg,1.52,2.38,2.72,1.87,1.23,1.13
00428.jpg,4.53,6.5,4.47,6.28,4.6,3.97
00429.jpg,7.03,7.92,7.78,8.55,8.43,7.35
00430.jpg,8.63,8.63,8.48,8.37,8.73,8.9
00431.jpg,8.35,7.92,7.9,8.17,8.35,8.33
00432.jpg,2.26,5.13,4.74,4.91,2.43,1.29
00433.jpg,8.5,8.18,9.02,8.83,8.28,8.73
00434.jpg,3.25,7.08,5.85,5.93,3.98,1.95
00435.jpg,2.97,5.22,5.22,5.6,3.93,1.72
00436.jpg,2.15,2.8,3.83,2.52,2.9,1.2
00437.jpg,1.96,3.76,4.51,2.42,3.0,1.41
00438.jpg,7.43,6.7,8.2,7.2,7.87,8.03
00439.jpg,3.43,7.23,6.85,6.13,4.72,2.17
00440.jpg,2.95,6.14,5.72,5.49,4.1,1.4
00441.jpg,4.52,5.51,5.26,5.53,4.47,4.1
00442.jpg,6.64,7.6,7.29,7.2,6.19,6.45
00443.jpg,7.7,8.07,7.66,7.4,6.8,7.29
00444.jpg,7.61,7.98,7.87,7.44,6.65,7.51
00445.jpg,4.96,6.68,6.62,6.08,5.9,2.98
00446.jpg,3.52,7.14,6.36,6.08,5.08,1.71
00447.jpg,1.71,3.46,3.91,3.76,3.1,1.14
00448.jpg,2.11,1.87,3.19,2.33,3.87,2.69
00449.jpg,2.29,4.32,4.26,3.13,3.28,1.98
